Project ID,Project Name,ARB ID,Project Developer,Verifier,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications/SDGs,Total Number of Credits Registered ,Methodology / Protocol,Project Notes,Project Website,ACR Source Data,Updated 11-1-23,Total Projects:,684
ACR538,Hudson Tech 2020-2,CAOD5538,Hudson Technologies Company,GHD Limited,Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",58481.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR539,Puget Sound Energy Baker-White River Forest Carbon Project,,420,SCS Global Services (Scientific Certification Systems),Forest Carbon,Registered,Not ARB Eligible,"Baker complex is in the vicinity of Concrete, WA and the White River complex is about 25 miles east of Puyallup, WA.",WASHINGTON,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,334269.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,PSE,,,,
ACR540,Pinnacle Mine Methane Incineration Project,CAMM5540,Keyrock Environment LLC,,Coal Mine Methane,,Listed - Active ARB Project,Pineville,WEST VIRGINIA,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",15657.0,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,,,,,
ACR542,Tradewater ODS 32,CAMM5542,Keyrock Environment LLC,"Agri-Waste Technology, Inc.",Coal Mine Methane,,Listed - Active ARB Project,Waltonville,ILLINOIS,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",42675.0,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,,,,,
ACR543,Hubbard Creek Coal Gas Incineration Project,CAOD5543,"Tradewater, LLC",Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",71885.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR544,WMMC2,CAMM5544,Hubbard Creek Coal Gas LLC,Dillon Consulting Limited,Coal Mine Methane,,Listed - Active ARB Project,Somerset,COLORADO,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",162702.0,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,none,,,,
ACR545,Middle Fork Abandoned Mine Methane Recovery Project,CAMM5545,Environmental Commodities Corporation,"SES, Inc.",Coal Mine Methane,,Listed - Proposed Project,Somerset,COLORADO,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,none,,,,
ACR546,Tradewater ODS 33,CAMM5546,Keyrock Environment LLC,"Agri-Waste Technology, Inc.",Coal Mine Methane,,Listed - Active ARB Project,Benton,ILLINOIS,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",35409.0,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,,,,,
ACR547,Perennial CN9-2 AMM FLARE PROJECT,CAOD5547,"Tradewater, LLC",Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",56697.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR548,Bluesource - Spirit Falls Improved Forest Management Project,CAMM5548,Perennial CMM LLC,SCS Engineers,Coal Mine Methane,,ARB Inactive,Fairview,WEST VIRGINIA,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,,,,,
ACR549,Hudson Tech 2020-3,,Blue Source,,Forest Carbon,,Listed - Active ARB Project,Lincoln County,WISCONSIN,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,643506.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR550,Foam Blowing Agent Project 001L,CAOD5550,Hudson Technologies Company,"SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",59364.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.hudsontech.com,,,,
ACR551,Foam Blowing Agent Project 002E,,297,"First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,Earth City,MISSOURI,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",526103.0,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,,,,,,
ACR552,Bluesource - Cypress Improved Forest Management Project,,297,"First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,Rockford,MINNESOTA,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",333499.0,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,,,,,,
ACR553,Finite Carbon - Opal Mountain Ranch IFM,,Blue Source,Ruby Canyon Environment,Forest Carbon,,ARB Inactive,St. Martin,LOUISIANA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR554,Foam Blowing Agent Project 005,CAFR5554,Opal Mountain LLC,"Aster Global Environmental Solutions, Inc.",Forest Carbon,,Listed - Active ARB Project,Prineville,OREGON,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,493250.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR555,Anew - Navajo Nation Forestry Project,CAFR5555,Blue Source,,Forest Carbon,,Listed - Proposed Project,Fort Defiance,ARIZONA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
