Project ID,Project Name,Project Developer,Project Type,Project Site State,Project Site Country,Additional Certification(s),Vintage,Deposit Date,Offset Credits Deposited,Offset Credits Released,Offset Credits Retired,Offset Credits Canceled,Offset Credits Canceled for ARB,Buffer Pool Balance,Year Effective,CAR Buffer Data,Updated 11-1-23,Total Buffer Pool:,782813
CAR1591,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido San Felipe de Jesús,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2022,2023-08-04,99,0,0,0,0,99,2023,,,,
CAR1591,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido San Felipe de Jesús,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2021,2023-08-04,92,0,0,0,0,92,2023,,,,
CAR1593,Proyecto Forestal de Carbono Ejido Madera,Juan Carlos Leyva Reyes,Forestry - MX,CI,MX,,2022,2022-12-16,719,0,0,0,0,719,2022,,,,
CAR1593,Proyecto Forestal de Carbono Ejido Madera,Juan Carlos Leyva Reyes,Forestry - MX,CI,MX,,2021,2022-12-16,794,0,0,0,0,794,2022,,,,
CAR1606,Ejido Pozo Pirata,Bioforestal Innovación Sustentable S.C.,Forestry - MX,QR,MX,,2022,2023-05-30,7137,0,0,0,0,7137,2023,,,,
CAR1606,Ejido Pozo Pirata,Bioforestal Innovación Sustentable S.C.,Forestry - MX,QR,MX,,2021,2023-05-30,5020,0,0,0,0,5020,2023,,,,
CAR1606,Ejido Pozo Pirata,Bioforestal Innovación Sustentable S.C.,Forestry - MX,QR,MX,,2021,2023-05-30,3254,0,0,0,0,3254,2023,,,,
CAR1607,Ejido Piedras Negras,Bioforestal Innovación Sustentable S.C.,Forestry - MX,QR,MX,,2022,2023-05-30,7826,0,0,0,0,7826,2023,,,,
CAR1607,Ejido Piedras Negras,Bioforestal Innovación Sustentable S.C.,Forestry - MX,QR,MX,,2021,2023-05-30,5525,0,0,0,0,5525,2023,,,,
CAR1607,Ejido Piedras Negras,Bioforestal Innovación Sustentable S.C.,Forestry - MX,QR,MX,,2021,2023-05-30,3568,0,0,0,0,3568,2023,,,,
CAR1608,Ejido Gavilanes,Bioforestal Innovación Sustentable S.C.,Forestry - MX,QR,MX,,2022,2023-05-30,8599,0,0,0,0,8599,2023,,,,
CAR1608,Ejido Gavilanes,Bioforestal Innovación Sustentable S.C.,Forestry - MX,QR,MX,,2021,2023-05-30,6134,0,0,0,0,6134,2023,,,,
CAR1608,Ejido Gavilanes,Bioforestal Innovación Sustentable S.C.,Forestry - MX,QR,MX,,2021,2023-05-30,3921,0,0,0,0,3921,2023,,,,
CAR1625,"CAPTURA DE CARBONO EN LOS BOSQUES DEL EJIDO SAN PABLO, MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO","SERVICIO Y CONSULTORIA AMBIENTAL Y FORESTAL, S. DE .R.L. DE C.V.",Forestry - MX,DG,MX,,2022,2023-09-26,1302,0,0,0,0,1302,2023,,,,
CAR1625,"CAPTURA DE CARBONO EN LOS BOSQUES DEL EJIDO SAN PABLO, MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO","SERVICIO Y CONSULTORIA AMBIENTAL Y FORESTAL, S. DE .R.L. DE C.V.",Forestry - MX,DG,MX,,2021,2023-09-26,549,0,0,0,0,549,2023,,,,
CAR1626,"CAPTURA DE CARBONO EN LOS BOSQUES DE CONIFERAS Y LATIFOLIADAS EN EL EJIDO CHAVARRIA VIEJO,MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO","SERVICIO Y CONSULTORIA AMBIENTAL Y FORESTAL, S. DE .R.L. DE C.V.",Forestry - MX,DG,MX,,2022,2023-10-13,24080,0,0,0,0,24080,2023,,,,
CAR1626,"CAPTURA DE CARBONO EN LOS BOSQUES DE CONIFERAS Y LATIFOLIADAS EN EL EJIDO CHAVARRIA VIEJO,MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO","SERVICIO Y CONSULTORIA AMBIENTAL Y FORESTAL, S. DE .R.L. DE C.V.",Forestry - MX,DG,MX,,2021,2023-10-13,10693,0,0,0,0,10693,2023,,,,
CAR1635,Captura de carbono forestal en los Bienes Comunales de San Francisco Oxtotilpan,TERRITORIOS RURALES SOSTENIBLES AC,Forestry - MX,EM,MX,,2022,2023-08-31,255,0,0,0,0,255,2023,,,,
CAR1635,Captura de carbono forestal en los Bienes Comunales de San Francisco Oxtotilpan,TERRITORIOS RURALES SOSTENIBLES AC,Forestry - MX,EM,MX,,2021,2023-08-31,314,0,0,0,0,314,2023,,,,
CAR1636,Captura de carbono forestal en el ejido San Pedro Jacuaro,TERRITORIOS RURALES SOSTENIBLES AC,Forestry - MX,MH,MX,,2022,2023-08-31,92,0,0,0,0,92,2023,,,,
CAR1636,Captura de carbono forestal en el ejido San Pedro Jacuaro,TERRITORIOS RURALES SOSTENIBLES AC,Forestry - MX,MH,MX,,2021,2023-08-31,106,0,0,0,0,106,2023,,,,
CAR1637,Captura de carbono forestal en el ejido Otzumatlán o Río de Parras,TERRITORIOS RURALES SOSTENIBLES AC,Forestry - MX,MH,MX,,2022,2023-08-31,115,0,0,0,0,115,2023,,,,
CAR1637,Captura de carbono forestal en el ejido Otzumatlán o Río de Parras,TERRITORIOS RURALES SOSTENIBLES AC,Forestry - MX,MH,MX,,2021,2023-08-31,107,0,0,0,0,107,2023,,,,
CAR1638,Captura de carbono forestal en la Comunidad Indígena San Pedro Jacuaro,TERRITORIOS RURALES SOSTENIBLES AC,Forestry - MX,MH,MX,,2022,2023-08-31,226,0,0,0,0,226,2023,,,,
CAR1638,Captura de carbono forestal en la Comunidad Indígena San Pedro Jacuaro,TERRITORIOS RURALES SOSTENIBLES AC,Forestry - MX,MH,MX,,2021,2023-08-31,262,0,0,0,0,262,2023,,,,
CAR1641,AgriCapture Grasslands Project 1,AgriCapture Inc,Avoided Grassland Conversion,TX,US,,2022,2023-05-12,14,0,0,0,0,14,2023,,,,
CAR1660,Ejido Tutuaca,BRET Consultores,Forestry - MX,CI,MX,,2022,2023-09-01,38627,0,0,0,0,38627,2023,,,,
CAR1660,Ejido Tutuaca,BRET Consultores,Forestry - MX,CI,MX,,2021,2023-09-01,11450,0,0,0,0,11450,2023,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2019,2020-05-12,1870,0,0,0,0,1870,2020,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2018,2019-06-26,2503,0,0,0,0,2503,2019,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2017,2018-06-07,2693,0,0,0,0,2693,2018,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2016,2017-12-22,4169,0,0,0,0,4169,2017,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2015,2016-04-18,3910,0,0,0,0,3910,2016,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2014,2015-05-08,5303,0,0,0,4195,1108,2015,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2013,2014-04-28,17860,0,0,0,17860,0,2014,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2012,2013-04-30,38008,0,0,38008,0,0,2013,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2011,2012-03-02,42503,0,0,42503,0,0,2012,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2010,2011-05-09,16898,0,0,16898,0,0,2011,,,,
CAR497,Alligator River Avoided Conversion,"Mattamuskeet Ventures I,  LLC",Avoided Conversion,NC,US,,2010,2012-01-20,6819,0,0,6819,0,0,2012,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2011,2012-09-18,118,0,0,0,0,118,2012,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2010,2012-09-18,118,0,0,0,0,118,2012,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2009,2012-09-18,118,0,0,0,0,118,2012,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2008,2012-09-25,194,0,0,0,0,194,2012,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2007,2012-09-25,194,0,0,0,0,194,2012,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2006,2015-06-10,124,0,0,0,0,124,2015,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2006,2014-04-25,118,0,0,0,0,118,2014,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2006,2012-10-02,3647,0,0,0,0,3647,2012,,,,
CAR575,Arcata Sunnybrae Tract,City of Arcata,Improved Forest Management,CA,US,,2006,2013-06-04,118,0,0,0,0,118,2013,,,,
